V,Pristine,O2,H2O,CO,CO2,NO,NO2,SO2,SO3
0.05051,2.44E-05,3.13E-05,2.31E-05,2.34E-05,2.32E-05,2.79E-05,2.68E-05,2.23E-05,1.67E-05
0.15152,7.36E-05,9.21E-05,6.92E-05,7.03E-05,6.94E-05,8.67E-05,8.32E-05,6.62E-05,5.12E-05
0.25253,1.24E-04,1.48E-04,1.16E-04,1.18E-04,1.16E-04,1.49E-04,1.44E-04,1.10E-04,8.91E-05
0.35354,1.78E-04,1.99E-04,1.64E-04,1.67E-04,1.65E-04,2.09E-04,2.02E-04,1.55E-04,1.31E-04
0.45455,2.32E-04,2.46E-04,2.14E-04,2.17E-04,2.13E-04,2.61E-04,2.52E-04,2.00E-04,1.73E-04
0.55556,2.79E-04,2.93E-04,2.58E-04,2.61E-04,2.57E-04,3.04E-04,2.95E-04,2.40E-04,2.08E-04
0.65657,3.16E-04,3.40E-04,2.93E-04,2.96E-04,2.92E-04,3.39E-04,3.32E-04,2.73E-04,2.35E-04
0.75758,3.45E-04,3.83E-04,3.21E-04,3.24E-04,3.20E-04,3.74E-04,3.68E-04,3.00E-04,2.57E-04
0.85859,3.72E-04,4.22E-04,3.47E-04,3.51E-04,3.47E-04,4.08E-04,4.04E-04,3.26E-04,2.79E-04
0.9596,4.03E-04,4.56E-04,3.78E-04,3.82E-04,3.78E-04,4.38E-04,4.35E-04,3.57E-04,3.06E-04
1.06061,4.41E-04,4.90E-04,4.15E-04,4.19E-04,4.15E-04,4.70E-04,4.66E-04,3.93E-04,3.38E-04
1.16162,4.73E-04,5.23E-04,4.47E-04,4.50E-04,4.47E-04,5.06E-04,5.01E-04,4.24E-04,3.64E-04
1.26263,5.02E-04,5.51E-04,4.76E-04,4.79E-04,4.76E-04,5.38E-04,5.32E-04,4.52E-04,3.89E-04
1.36364,5.39E-04,5.79E-04,5.13E-04,5.16E-04,5.12E-04,5.65E-04,5.59E-04,4.88E-04,4.23E-04
1.46465,5.73E-04,6.12E-04,5.46E-04,5.50E-04,5.46E-04,5.91E-04,5.85E-04,5.21E-04,4.54E-04
1.56566,6.00E-04,6.53E-04,5.73E-04,5.77E-04,5.73E-04,6.21E-04,6.15E-04,5.47E-04,4.79E-04
1.66667,6.26E-04,6.99E-04,5.99E-04,6.02E-04,5.99E-04,6.61E-04,6.54E-04,5.73E-04,5.05E-04
1.76768,6.56E-04,7.47E-04,6.28E-04,6.31E-04,6.28E-04,7.06E-04,6.99E-04,6.02E-04,5.33E-04
1.86869,6.97E-04,7.95E-04,6.69E-04,6.72E-04,6.68E-04,7.53E-04,7.47E-04,6.43E-04,5.72E-04
1.9697,7.54E-04,8.42E-04,7.26E-04,7.28E-04,7.25E-04,7.99E-04,7.95E-04,6.98E-04,6.26E-04
2.07071,8.22E-04,8.86E-04,7.94E-04,7.95E-04,7.92E-04,8.46E-04,8.44E-04,7.66E-04,6.91E-04
2.17172,8.95E-04,9.29E-04,8.66E-04,8.67E-04,8.64E-04,8.95E-04,8.97E-04,8.38E-04,7.62E-04
2.27273,9.68E-04,9.77E-04,9.39E-04,9.39E-04,9.37E-04,9.48E-04,9.54E-04,9.10E-04,8.33E-04
2.37374,0.00104,0.00104,0.00101,0.00101,0.00101,0.00101,0.00102,9.84E-04,9.06E-04
2.47475,0.00112,0.0011,0.00109,0.00109,0.00109,0.00107,0.00108,0.00106,9.83E-04
2.57576,0.00121,0.00116,0.00118,0.00117,0.00118,0.00114,0.00115,0.00115,0.00107
2.67677,0.0013,0.00123,0.00127,0.00126,0.00127,0.00121,0.00123,0.00124,0.00116
2.77778,0.0014,0.0013,0.00136,0.00135,0.00136,0.00129,0.0013,0.00133,0.00125
2.87879,0.00149,0.00139,0.00145,0.00143,0.00145,0.00137,0.00139,0.00142,0.00134
2.9798,0.00157,0.00148,0.00153,0.00151,0.00153,0.00147,0.00149,0.0015,0.00142
3.08081,0.00166,0.00157,0.00162,0.00159,0.00162,0.00156,0.00158,0.00159,0.00151
3.18182,0.00174,0.00166,0.00171,0.00167,0.00171,0.00165,0.00167,0.00168,0.00159
3.28283,0.00182,0.00175,0.00178,0.00175,0.00178,0.00174,0.00176,0.00175,0.00167
3.38384,0.00189,0.00184,0.00185,0.00182,0.00185,0.00183,0.00185,0.00182,0.00174
3.48485,0.00196,0.00193,0.00192,0.00188,0.00192,0.00191,0.00193,0.00189,0.00181
3.58586,0.00202,0.00201,0.00198,0.00194,0.00198,0.00198,0.002,0.00195,0.00186
3.68687,0.00208,0.00208,0.00204,0.002,0.00204,0.00206,0.00208,0.00201,0.00192
3.78788,0.00215,0.00214,0.00211,0.00207,0.00211,0.00211,0.00213,0.00207,0.00198
3.88889,0.00222,0.00219,0.00218,0.00214,0.00218,0.00215,0.00217,0.00214,0.00206
3.9899,0.00229,0.00223,0.00224,0.00221,0.00224,0.0022,0.00222,0.00221,0.00212
4.09091,0.00235,0.00227,0.0023,0.00226,0.0023,0.00225,0.00227,0.00227,0.00218
4.19192,0.00241,0.00232,0.00236,0.00233,0.00236,0.0023,0.00232,0.00233,0.00224
